R0,R_eff,n_reps,limiar,n_surto_maior,p_major,p_major_low,p_major_high,p_major_theory,fs_cond_mean,fs_cond_low,fs_cond_high,fs_theory,p_major_exact,fs_cond_exact,fs_uncond_mean,fs_uncond_theory_branching,tempo_s,p_major_theory_in_ci,fs_theory_in_ci,p_major_exact_in_ci,fs_exact_in_ci,p_major_err_abs,fs_err_abs,fs_err_rel
0.5,0.5,500,100.0,0,0.0,0.0,0.007624340461552241,0.0,,,,0.0,4.888522660096427e-09,0.10545038566147791,0.0020299999999999997,0.002,0.047185135999825434,True,False,True,False,0.0,,
0.75,0.75,500,100.0,0,0.0,0.0,0.007624340461552241,0.0,,,,0.0,0.0005898925395420346,0.11916238329889559,0.003956,0.004,0.04951864300164743,True,False,True,False,0.0,,
1.0,1.0,500,100.0,16,0.032,0.019791513626571118,0.051344869045441784,0.0,0.1669375,0.12836696431356928,0.2055080356864307,0.0,0.0424309300787143,0.1780045035668795,0.011885999999999999,,0.05047519599975203,False,False,True,True,0.032,0.1669375,
1.25,1.25,500,155.0,90,0.18,0.148804907912759,0.21607466998263444,0.19999999999999996,0.39039999999999997,0.37295306251170024,0.4078469374882997,0.36963602069936563,0.17880433572150833,0.3778961475347313,0.075544,,0.07097818900001585,True,False,True,True,-0.019999999999999962,0.02076397930063434,0.056174123023367925
1.5,1.5,500,235.0,158,0.316,0.27678362811990814,0.3580221291699432,0.33333333333333337,0.5847721518987342,0.5763805828254485,0.59316372097202,0.5812537915373338,0.3258399751439467,0.579390829270701,0.186684,,0.09214968599917484,True,True,True,True,-0.017333333333333367,0.0035183603614004078,0.006053053610359846
1.75,1.75,500,310.0,213,0.426,0.38338257836675194,0.46974582402155785,0.4285714285714286,0.7097511737089203,0.7039495375374999,0.7155528098803406,0.7112643561036799,0.4252563490456045,0.7105970557374724,0.303892,,0.09963803900063795,True,True,True,True,-0.0025714285714286134,-0.0015131823947596157,-0.002127454274594693
2.0,2.0,500,345.0,264,0.528,0.48419577166421596,0.5713772652699372,0.5,0.7973371212121213,0.7936337516026389,0.8010404908216037,0.7954695316323409,0.4979343543285237,0.7953748843378012,0.421844,,0.1474532240008557,True,True,True,True,0.028000000000000025,0.0018675895797803932,0.002347782668618384
2.25,2.25,500,385.0,272,0.544,0.5001738756211381,0.5871551824182454,0.5555555555555556,0.8504485294117647,0.8476400370738421,0.8532570217496874,0.852148767226687,0.5540856287443393,0.8523643575327376,0.46354,,0.15686258700043254,True,True,True,True,-0.011555555555555541,-0.0017002378149222341,-0.001995235902829089
2.5,2.5,500,425.0,298,0.596,0.5524153513244502,0.6381207753069317,0.6,0.8913892617449665,0.8893119702482446,0.8934665532416883,0.8914244114136323,0.5988724140318241,0.8918318620264957,0.532034,,0.19372818600095343,True,True,True,True,-0.0040000000000000036,-3.514966866580149e-05,-3.9430902066122124e-05
2.75,2.75,500,450.0,306,0.612,0.568588177086666,0.6537039706499462,0.6363636363636364,0.9183137254901962,0.9167739255695384,0.919853525410854,0.9192581169001215,0.6354554442504737,0.9197945921311174,0.562662,,0.23003823599901807,True,True,True,True,-0.024363636363636365,-0.0009443914099253048,-0.0010273408442777058
3.0,3.0,500,455.0,321,0.642,0.5990422907102082,0.682792396598711,0.6666666666666667,0.9398504672897197,0.9386755337400775,0.9410254008393618,0.9393346951478642,0.6659097562064091,0.9399632364550903,0.603934,,0.239011075000235,True,True,True,True,-0.024666666666666726,0.0005157721418554972,0.0005490823925909685
3.25,3.25,500,460.0,328,0.656,0.6133141713377337,0.696307034438262,0.6923076923076923,0.9551097560975609,0.9541027499527528,0.956116762242369,0.9540214838892299,0.6916607562831616,0.9547186828545307,0.627054,,0.19460737200097356,True,False,True,True,-0.03630769230769226,0.0010882722083309648,0.0011407208608074937
3.5,3.5,500,480.0,354,0.708,0.6666807682036219,0.7461475061643724,0.7142857142857143,0.9656129943502825,0.9648004521829759,0.966425536517589,0.9648880949011142,0.7137219842965253,0.9656382476237073,0.6840700000000001,,0.2908578269998543,True,True,True,True,-0.006285714285714339,0.0007248994491683147,0.0007512782601412504
3.75,3.75,500,480.0,365,0.73,0.6894413425907917,0.7670514607968943,0.7333333333333334,0.9738958904109588,0.9732372041710482,0.9745545766508694,0.9730026433344239,0.7328345575845224,0.9737947100716942,0.711288,,0.2365748239990353,True,False,True,True,-0.0033333333333334103,0.000893247076534931,0.0009180315003809494
4.0,4.0,500,490.0,384,0.768,0.7290425919653227,0.8028707615472854,0.75,0.9800729166666667,0.9795104017124909,0.9806354316208425,0.979107888963715,0.7495532218542755,0.9799337996530325,0.753058,,0.27492716500091774,True,False,True,True,0.018000000000000016,0.000965027702951704,0.0009856193723176785
