rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"4003,0",890,0.89,248,26.12513087655588,58.318764861630555,1779,1,1.0
1,"4003,1",1,0.001,1,0.0,0.2685338610464227,1,0,0.0
2,"4003,2",890,0.89,236,25.643496787703185,73.96054657296077,1779,4,4.0
3,"4003,3",1,0.001,1,0.0,0.4723571429265295,1,0,0.0
4,"4003,4",873,0.873,235,29.80863796184707,75.64886090232054,1745,4,4.0
5,"4003,5",906,0.906,243,26.275419885934113,82.46722903944342,1811,4,4.0
6,"4003,6",1,0.001,1,0.0,1.4911879444780902,1,0,0.0
7,"4003,7",878,0.878,186,32.095261627250025,73.45065968988338,1755,1,1.0
8,"4003,8",893,0.893,218,27.620363440745077,77.32437379936935,1785,1,1.0
9,"4003,9",918,0.918,250,21.256424229506734,55.75712864358236,1835,1,1.0
10,"4003,10",888,0.888,253,22.203860570968416,82.26964621743494,1775,6,6.0
11,"4003,11",887,0.887,263,33.62029320388687,82.21623119524526,1773,1,1.0
12,"4003,12",924,0.924,258,24.964441931041105,76.33789670535782,1847,1,1.0
13,"4003,13",3,0.003,3,2.437419057286662,3.9395235768874057,5,2,2.0
14,"4003,14",866,0.866,239,24.159120703037573,58.23256530275502,1731,2,2.0
15,"4003,15",903,0.903,235,29.65480600195063,81.97730821091353,1805,2,2.0
16,"4003,16",913,0.913,263,18.750182528198824,66.90536968969731,1825,3,3.0
17,"4003,17",2,0.002,2,0.25873776704089796,0.6796920732621581,3,1,1.0
18,"4003,18",1,0.001,1,0.0,3.935332328170749,1,0,0.0
19,"4003,19",1,0.001,1,0.0,2.871474962423447,1,0,0.0
20,"4003,20",835,0.835,205,21.593594879819854,74.18118914599951,1669,4,4.0
21,"4003,21",6,0.006,4,5.479110101074585,7.0794849776263185,11,5,5.0
22,"4003,22",1,0.001,1,0.0,0.01906933585429851,1,0,0.0
23,"4003,23",1,0.001,1,0.0,8.596264294096057,1,0,0.0
24,"4003,24",899,0.899,225,34.62973848136176,68.27321525634429,1797,5,5.0
25,"4003,25",889,0.889,248,26.747299227133784,98.43086855585447,1777,5,5.0
26,"4003,26",1,0.001,1,0.0,2.2797422866203028,1,0,0.0
