rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"2,0",171,0.171,17,20.15138485740431,101.62782884562473,341,3,3.0
1,"2,1",1,0.001,1,0.0,0.39933986238930197,1,0,0.0
2,"2,2",277,0.277,48,31.052793557860827,68.65664277649392,553,1,1.0
3,"2,3",358,0.358,61,42.021402467096834,104.90022986897007,715,1,1.0
4,"2,4",1,0.001,1,0.0,10.830555380415792,1,0,0.0
5,"2,5",1,0.001,1,0.0,3.108481386045192,1,0,0.0
6,"2,6",357,0.357,47,30.24456965835561,94.43749602017505,713,3,3.0
7,"2,7",16,0.016,5,19.889161594392725,30.755639811089566,31,2,2.0
8,"2,8",1,0.001,1,0.0,1.035442590767631,1,0,0.0
9,"2,9",347,0.347,46,20.63107661215362,113.61624597392058,693,4,4.0
10,"2,10",357,0.357,59,43.93855014155426,73.82440609587796,713,2,2.0
11,"2,11",1,0.001,1,0.0,3.159293740981636,1,0,0.0
12,"2,12",3,0.003,3,0.9913179622296544,3.3376102533616003,5,2,2.0
13,"2,13",234,0.234,34,46.972225729741346,89.10000505454295,467,1,1.0
14,"2,14",3,0.003,2,5.088170830040616,9.076428698681376,5,2,2.0
15,"2,15",1,0.001,1,0.0,4.013938563097702,1,0,0.0
16,"2,16",6,0.006,4,2.387337953440485,8.494217649968778,11,1,1.0
17,"2,17",1,0.001,1,0.0,0.9167954855302917,1,0,0.0
18,"2,18",272,0.272,48,25.867405190270706,80.69330571204756,543,5,5.0
19,"2,19",375,0.375,60,46.49598448571353,98.52338539323033,749,2,2.0
20,"2,20",1,0.001,1,0.0,10.55793971256385,1,0,0.0
21,"2,21",401,0.401,53,46.130950716107456,108.18386524565315,801,2,2.0
22,"2,22",361,0.361,56,35.79103517692179,132.6487255878413,721,5,5.0
23,"2,23",370,0.37,72,29.493548430221697,74.45345220258926,739,1,1.0
24,"2,24",294,0.294,34,44.015565023785484,130.30088644106542,587,3,3.0
25,"2,25",1,0.001,1,0.0,0.3902020969472514,1,0,0.0
26,"2,26",11,0.011,7,9.378187871768292,16.482270746527064,21,1,1.0
27,"2,27",1,0.001,1,0.0,0.9365973865657437,1,0,0.0
28,"2,28",313,0.313,45,24.231757691268584,83.8232092820358,625,1,1.0
29,"2,29",2,0.002,2,0.5117662184382066,1.5332858518528842,3,1,1.0
30,"2,30",371,0.371,65,41.82133386233063,83.57185871660963,741,2,2.0
31,"2,31",2,0.002,2,0.12251395248183479,2.459101315097654,3,1,1.0
32,"2,32",8,0.008,5,4.690779286625937,15.842140790609108,15,4,4.0
33,"2,33",2,0.002,2,0.9105200761192228,2.0644636151548292,3,1,1.0
34,"2,34",340,0.34,49,46.363431697070695,90.41015206844722,679,5,5.0
35,"2,35",350,0.35,73,38.503753977755174,96.07384458286678,699,3,3.0
36,"2,36",50,0.05,11,26.40670142981214,43.700024463843484,99,1,1.0
37,"2,37",2,0.002,2,2.1458484792929386,4.205884579020495,3,1,1.0
38,"2,38",9,0.009,4,4.151680459320229,22.45159742995266,17,2,2.0
39,"2,39",361,0.361,65,48.180777199860366,95.51478780403707,721,1,1.0
40,"2,40",375,0.375,61,60.88275375180838,94.53924241298546,749,1,1.0
41,"2,41",2,0.002,2,1.4967413112247772,4.691944067862304,3,1,1.0
42,"2,42",382,0.382,52,36.248819073320284,90.88911810051619,763,2,2.0
43,"2,43",316,0.316,53,33.41939166009847,82.86279843913974,631,3,3.0
44,"2,44",1,0.001,1,0.0,3.589127022045838,1,0,0.0
45,"2,45",1,0.001,1,0.0,0.9687418425188016,1,0,0.0
46,"2,46",1,0.001,1,0.0,6.416426641098095,1,0,0.0
47,"2,47",10,0.01,5,7.343334187639512,22.454474396036463,19,5,5.0
48,"2,48",7,0.007,4,12.813817963641911,17.88953096368765,13,1,1.0
49,"2,49",1,0.001,1,0.0,3.518768689459894,1,0,0.0
50,"2,50",312,0.312,43,49.243127628779426,75.3139175314974,623,4,4.0
51,"2,51",2,0.002,2,0.5640058761303743,2.7636194102975824,3,1,1.0
52,"2,52",4,0.004,4,7.831859240807335,11.593944857403667,7,2,2.0
53,"2,53",1,0.001,1,0.0,0.7747408793381454,1,0,0.0
54,"2,54",390,0.39,71,42.65415997194964,84.37144461185348,779,2,2.0
55,"2,55",1,0.001,1,0.0,5.633199019571301,1,0,0.0
56,"2,56",1,0.001,1,0.0,0.35560067676754026,1,0,0.0
57,"2,57",96,0.096,19,35.05624237464482,57.85808178738153,191,5,5.0
58,"2,58",339,0.339,48,32.39597784475287,98.22602585907349,677,1,1.0
59,"2,59",1,0.001,1,0.0,2.9145495321076353,1,0,0.0
60,"2,60",1,0.001,1,0.0,0.5312522230447184,1,0,0.0
61,"2,61",2,0.002,2,1.2120672662910608,1.595880117550025,3,1,1.0
62,"2,62",1,0.001,1,0.0,0.2785388338559573,1,0,0.0
63,"2,63",1,0.001,1,0.0,0.6274632381701412,1,0,0.0
