rep,t,S,I,R
0,0.0,599,1,400
0,0.33245294633544187,599,1,400
0,0.6649058926708837,598,2,400
0,0.9973588390063256,598,2,400
0,1.3298117853417675,598,2,400
0,1.6622647316772095,598,2,400
0,1.9947176780126512,598,2,400
0,2.327170624348093,597,3,400
0,2.659623570683535,597,3,400
0,2.992076517018977,597,2,401
0,3.324529463354419,597,2,401
0,3.6569824096898604,597,2,401
0,3.9894353560253024,597,2,401
0,4.321888302360744,597,2,401
0,4.654341248696186,594,5,401
0,4.986794195031628,593,6,401
0,5.31924714136707,593,6,401
0,5.651700087702512,593,5,402
0,5.984153034037954,592,6,402
0,6.316605980373396,592,5,403
0,6.649058926708838,591,6,403
0,6.981511873044279,591,5,404
0,7.313964819379721,591,5,404
0,7.646417765715163,591,4,405
0,7.978870712050605,591,4,405
0,8.311323658386046,590,5,405
0,8.643776604721488,590,5,405
0,8.97622955105693,590,4,406
0,9.308682497392372,590,4,406
0,9.641135443727814,590,3,407
0,9.973588390063256,589,4,407
0,10.306041336398698,589,4,407
0,10.63849428273414,589,4,407
0,10.970947229069582,588,5,407
0,11.303400175405024,588,4,408
0,11.635853121740466,587,4,409
0,11.968306068075908,587,4,409
0,12.30075901441135,586,5,409
0,12.633211960746792,586,5,409
0,12.965664907082234,586,5,409
0,13.298117853417676,586,5,409
0,13.630570799753116,586,5,409
0,13.963023746088558,584,7,409
0,14.295476692424,584,7,409
0,14.627929638759442,583,8,409
0,14.960382585094884,583,7,410
0,15.292835531430326,582,7,411
0,15.625288477765768,582,7,411
0,15.95774142410121,582,7,411
0,16.29019437043665,581,8,411
0,16.622647316772092,580,9,411
0,16.955100263107536,578,10,412
0,17.287553209442976,577,11,412
0,17.62000615577842,577,11,412
0,17.95245910211386,576,12,412
0,18.284912048449304,575,13,412
0,18.617364994784744,575,12,413
0,18.949817941120187,572,15,413
0,19.282270887455628,570,15,415
0,19.61472383379107,569,15,416
0,19.94717678012651,567,15,418
0,20.279629726461955,565,16,419
0,20.612082672797396,565,11,424
0,20.94453561913284,563,13,424
0,21.27698856546828,561,11,428
0,21.60944151180372,556,15,429
0,21.941894458139164,556,15,429
0,22.274347404474604,556,14,430
0,22.606800350810047,556,12,432
0,22.939253297145488,555,12,433
0,23.27170624348093,555,11,434
0,23.60415918981637,554,12,434
0,23.936612136151815,553,10,437
0,24.269065082487256,552,11,437
0,24.6015180288227,551,11,438
0,24.93397097515814,551,8,441
0,25.266423921493583,551,8,441
0,25.598876867829023,551,8,441
0,25.931329814164467,551,8,441
0,26.263782760499907,550,9,441
0,26.59623570683535,550,9,441
0,26.92868865317079,550,9,441
0,27.26114159950623,549,9,442
0,27.593594545841675,549,9,442
0,27.926047492177116,547,11,442
0,28.25850043851256,546,12,442
0,28.590953384848,546,10,444
0,28.923406331183443,546,10,444
0,29.255859277518883,544,12,444
0,29.588312223854327,544,12,444
0,29.920765170189767,543,12,445
0,30.25321811652521,542,11,447
0,30.58567106286065,542,11,447
0,30.918124009196095,541,11,448
0,31.250576955531535,539,12,449
0,31.58302990186698,539,11,450
0,31.91548284820242,537,11,452
0,32.24793579453786,537,10,453
0,32.5803887408733,535,12,453
0,32.91284168720875,535,12,453
0,33.245294633544184,533,14,453
0,33.57774757987963,532,13,455
0,33.91020052621507,532,11,457
0,34.242653472550515,532,11,457
0,34.57510641888595,531,10,459
0,34.907559365221395,530,11,459
0,35.24001231155684,530,11,459
0,35.57246525789228,529,9,462
0,35.90491820422772,528,10,462
0,36.23737115056316,527,10,463
