rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"20,0",10,1.0,8,4.653297410334637,14.84971922745547,19,3,3.0
1,"20,1",10,1.0,6,2.003006986184228,18.80519489419351,19,2,2.0
2,"20,2",2,0.2,2,0.44814057379150246,2.1864410850474028,3,1,1.0
3,"20,3",1,0.1,1,0.0,0.48844178704106417,1,0,0.0
4,"20,4",1,0.1,1,0.0,1.1182897445532742,1,0,0.0
5,"20,5",10,1.0,7,5.414424034004059,19.516108502249615,19,3,3.0
6,"20,6",1,0.1,1,0.0,0.9927394471308978,1,0,0.0
7,"20,7",8,0.8,5,4.389042396224786,21.37447588181304,15,2,2.0
8,"20,8",8,0.8,6,9.417719445417017,22.82808029343113,15,2,2.0
9,"20,9",1,0.1,1,0.0,0.8944395315879019,1,0,0.0
10,"20,10",10,1.0,6,8.90019514967855,42.121929905115685,19,3,3.0
11,"20,11",2,0.2,2,0.008761918387655387,1.006190414398149,3,1,1.0
12,"20,12",7,0.7,4,2.54502507466978,15.237551085968034,13,3,3.0
13,"20,13",1,0.1,1,0.0,0.664159945786515,1,0,0.0
14,"20,14",1,0.1,1,0.0,3.9134095610571267,1,0,0.0
15,"20,15",6,0.6,4,8.123386666764052,13.213902507041023,11,1,1.0
16,"20,16",10,1.0,6,6.326212799119782,33.25210860650648,19,4,4.0
17,"20,17",7,0.7,4,3.651167273260758,24.0220745551221,13,3,3.0
18,"20,18",10,1.0,6,4.086169708259182,36.18273037475574,19,4,4.0
19,"20,19",6,0.6,5,1.6193697831574574,5.5641757491239225,11,2,2.0
20,"20,20",10,1.0,6,3.150181624025912,17.324151718929347,19,4,4.0
21,"20,21",10,1.0,6,3.3457681462339277,19.82955924070084,19,2,2.0
22,"20,22",3,0.3,2,0.3177407278903922,3.7290720571845064,5,2,2.0
23,"20,23",8,0.8,5,3.9833890496633675,19.205532023568242,15,3,3.0
24,"20,24",10,1.0,6,4.514953423251165,31.97403611440224,19,2,2.0
25,"20,25",9,0.9,6,2.8514197871012694,14.193346771922037,17,3,3.0
26,"20,26",10,1.0,5,9.16497821649979,16.23745986642378,19,4,4.0
27,"20,27",2,0.2,2,0.2630396266711267,2.416148416957895,3,1,1.0
28,"20,28",7,0.7,6,3.5038709340880003,5.94186437131933,13,2,2.0
29,"20,29",1,0.1,1,0.0,0.2765220775775011,1,0,0.0
30,"20,30",9,0.9,6,8.318632038609913,17.491736532667105,17,4,4.0
31,"20,31",2,0.2,2,0.8687470920350664,4.331927735505899,3,1,1.0
32,"20,32",1,0.1,1,0.0,1.2369530574467023,1,0,0.0
33,"20,33",3,0.3,3,4.645991863969647,8.513930521883768,5,1,1.0
34,"20,34",1,0.1,1,0.0,10.845176740443396,1,0,0.0
35,"20,35",9,0.9,5,7.055421084502101,17.93658679831018,17,1,1.0
36,"20,36",1,0.1,1,0.0,0.07224815479922658,1,0,0.0
37,"20,37",6,0.6,3,8.314129323431244,11.400545662722859,11,1,1.0
38,"20,38",8,0.8,6,3.219181528473623,12.053616135751549,15,3,3.0
39,"20,39",10,1.0,7,11.898791568519966,31.57414741178401,19,5,5.0
40,"20,40",5,0.5,4,2.9970178023368987,6.198569526483891,9,2,2.0
41,"20,41",8,0.8,5,5.344472458348834,15.776808196860864,15,2,2.0
42,"20,42",1,0.1,1,0.0,0.4244597529738483,1,0,0.0
43,"20,43",1,0.1,1,0.0,1.6224354441468243,1,0,0.0
44,"20,44",1,0.1,1,0.0,0.8746152119794425,1,0,0.0
45,"20,45",6,0.6,4,3.136049625380978,8.560089660782655,11,1,1.0
46,"20,46",10,1.0,6,5.315284158775565,15.969623348398759,19,2,2.0
47,"20,47",10,1.0,5,2.77908733821854,39.49711495828476,19,2,2.0
48,"20,48",8,0.8,6,6.65653616664445,30.171913528079514,15,2,2.0
49,"20,49",10,1.0,7,3.8636203717930724,16.81146624682698,19,2,2.0
50,"20,50",7,0.7,4,3.140735104998364,16.0622073739527,13,2,2.0
51,"20,51",9,0.9,7,7.6305308267867895,18.68081034616817,17,1,1.0
52,"20,52",10,1.0,6,9.477696001374353,28.004781558652613,19,2,2.0
53,"20,53",1,0.1,1,0.0,3.4352122649598615,1,0,0.0
54,"20,54",7,0.7,6,3.9112538472135747,11.605710534078865,13,2,2.0
55,"20,55",1,0.1,1,0.0,1.765490499201177,1,0,0.0
56,"20,56",10,1.0,5,3.5872132472243288,15.938649701123463,19,2,2.0
57,"20,57",9,0.9,5,4.295770133406544,20.823414800997817,17,4,4.0
58,"20,58",8,0.8,3,1.4053595272905155,22.06149538737868,15,1,1.0
59,"20,59",1,0.1,1,0.0,2.577926881958876,1,0,0.0
60,"20,60",1,0.1,1,0.0,2.9778504453701897,1,0,0.0
61,"20,61",10,1.0,6,2.722297220090571,16.47311342904713,19,3,3.0
62,"20,62",3,0.3,2,0.9263202328893668,2.8185563057589493,5,2,2.0
63,"20,63",10,1.0,6,1.184409014268588,31.85827533432264,19,2,2.0
64,"20,64",2,0.2,2,0.8806817731594155,2.6798806162379623,3,1,1.0
65,"20,65",10,1.0,6,6.854772297289359,14.922174449934204,19,3,3.0
66,"20,66",10,1.0,8,2.9837962393411774,36.76684087120369,19,3,3.0
67,"20,67",10,1.0,7,5.098601849101549,34.21349546996562,19,3,3.0
68,"20,68",1,0.1,1,0.0,0.3168351159566813,1,0,0.0
69,"20,69",7,0.7,4,3.184355802397939,17.500277422887454,13,3,3.0
70,"20,70",9,0.9,5,4.13525612187065,21.130127663647,17,3,3.0
71,"20,71",8,0.8,5,12.384694155321425,23.444302621999576,15,2,2.0
72,"20,72",5,0.5,3,4.777178977356295,6.130164229121665,9,2,2.0
73,"20,73",1,0.1,1,0.0,2.1079618306829264,1,0,0.0
74,"20,74",10,1.0,6,18.211069796592227,27.778717568441706,19,2,2.0
75,"20,75",2,0.2,2,0.5597802646195494,1.2527916029263124,3,1,1.0
76,"20,76",7,0.7,7,3.552515049754115,13.979511291197861,13,2,2.0
77,"20,77",6,0.6,3,7.642260838713569,15.58773883690562,11,1,1.0
78,"20,78",9,0.9,5,3.4995539294499514,28.48889709589083,17,1,1.0
79,"20,79",10,1.0,4,0.9534379995212778,21.119135505757832,19,1,1.0
80,"20,80",10,1.0,8,8.668076359554059,31.095015361785517,19,4,4.0
81,"20,81",3,0.3,2,0.608590542869157,3.406147960557106,5,1,1.0
82,"20,82",4,0.4,2,0.11155233970451921,5.386566531323714,7,1,1.0
83,"20,83",9,0.9,4,5.5701170700177505,26.880895063240402,17,3,3.0
84,"20,84",2,0.2,2,0.4469372948911629,1.865097099370715,3,1,1.0
85,"20,85",2,0.2,2,0.6840195083472411,4.238339498684491,3,1,1.0
86,"20,86",4,0.4,3,1.5174926845461352,5.707890745024814,7,1,1.0
87,"20,87",9,0.9,5,5.245850427979638,17.09277879602859,17,2,2.0
88,"20,88",9,0.9,4,3.7695820044935866,15.283189065761231,17,1,1.0
89,"20,89",8,0.8,5,5.647957631657176,10.86980617716272,15,5,5.0
90,"20,90",9,0.9,5,5.081507026836396,14.630356408937184,17,2,2.0
91,"20,91",4,0.4,2,0.5741087737741946,7.838074034474354,7,3,3.0
92,"20,92",9,0.9,5,14.232730851410283,43.95587303181287,17,2,2.0
93,"20,93",10,1.0,8,5.541170269449866,21.57326826803979,19,1,1.0
94,"20,94",2,0.2,2,1.313829256612298,6.434223755674034,3,1,1.0
95,"20,95",1,0.1,1,0.0,2.4642951160739344,1,0,0.0
96,"20,96",1,0.1,1,0.0,0.5715902652822817,1,0,0.0
97,"20,97",10,1.0,4,2.980246835010004,21.42920869171948,19,2,2.0
98,"20,98",1,0.1,1,0.0,3.5169358056857147,1,0,0.0
99,"20,99",1,0.1,1,0.0,0.812960026654565,1,0,0.0
100,"20,100",1,0.1,1,0.0,4.997015767460592,1,0,0.0
101,"20,101",2,0.2,2,0.9584446226674579,1.215123994003167,3,1,1.0
102,"20,102",8,0.8,6,8.719363509984612,25.32108516598856,15,1,1.0
103,"20,103",2,0.2,2,1.9899336040515851,2.5853271308957755,3,1,1.0
104,"20,104",2,0.2,2,2.9906371355146373,7.570188982484941,3,1,1.0
105,"20,105",1,0.1,1,0.0,0.2070760617428221,1,0,0.0
106,"20,106",2,0.2,2,4.100377813478183,8.152492252990836,3,1,1.0
107,"20,107",7,0.7,5,2.7618742138680075,11.549117326886183,13,2,2.0
108,"20,108",6,0.6,4,2.6754667588517442,5.564827480973628,11,3,3.0
109,"20,109",1,0.1,1,0.0,2.276008980936856,1,0,0.0
110,"20,110",1,0.1,1,0.0,0.35438196738765976,1,0,0.0
111,"20,111",10,1.0,6,4.672403523992307,21.007002607625793,19,5,5.0
112,"20,112",1,0.1,1,0.0,4.970914689715047,1,0,0.0
113,"20,113",1,0.1,1,0.0,0.4360513017312437,1,0,0.0
114,"20,114",1,0.1,1,0.0,0.8017171527064192,1,0,0.0
115,"20,115",10,1.0,5,8.63598610825761,17.228566828929253,19,4,4.0
116,"20,116",1,0.1,1,0.0,1.1116047766636412,1,0,0.0
117,"20,117",7,0.7,5,3.970873544010705,12.798219334290572,13,3,3.0
118,"20,118",2,0.2,2,3.269545329562595,4.636234168062601,3,1,1.0
119,"20,119",1,0.1,1,0.0,2.0530166504704503,1,0,0.0
120,"20,120",1,0.1,1,0.0,0.5919266960334525,1,0,0.0
121,"20,121",10,1.0,7,7.172392479748023,16.67605248500362,19,2,2.0
122,"20,122",1,0.1,1,0.0,0.3313632678583345,1,0,0.0
123,"20,123",9,0.9,5,8.060278104535595,15.363260455226646,17,4,4.0
124,"20,124",9,0.9,4,6.284124110857668,31.715083862101146,17,4,4.0
125,"20,125",6,0.6,3,0.638045112262364,12.904104130498254,11,4,4.0
126,"20,126",8,0.8,6,9.332921216761752,16.67187360506183,15,4,4.0
127,"20,127",1,0.1,1,0.0,0.49967153047879725,1,0,0.0
128,"20,128",8,0.8,4,0.7781558831212428,8.901461262306155,15,2,2.0
129,"20,129",10,1.0,8,15.884917627708584,19.141386200276777,19,3,3.0
130,"20,130",1,0.1,1,0.0,2.0855922297622014,1,0,0.0
131,"20,131",1,0.1,1,0.0,0.4436988531500293,1,0,0.0
132,"20,132",5,0.5,3,4.879190116887589,7.203892969005559,9,1,1.0
133,"20,133",8,0.8,4,0.732402498360946,17.72950530991363,15,1,1.0
134,"20,134",9,0.9,6,2.794182541159672,13.425916242519321,17,1,1.0
135,"20,135",9,0.9,8,5.511986285218116,15.111556432129806,17,2,2.0
136,"20,136",1,0.1,1,0.0,2.6909326998269862,1,0,0.0
137,"20,137",10,1.0,6,5.1398675002191965,16.142302911731388,19,3,3.0
138,"20,138",9,0.9,5,1.217035578509452,19.978044589132196,17,3,3.0
139,"20,139",1,0.1,1,0.0,2.5879297524203144,1,0,0.0
140,"20,140",7,0.7,5,3.170813496363399,11.426597272757283,13,3,3.0
141,"20,141",10,1.0,5,4.297513097818811,68.17679193684145,19,1,1.0
142,"20,142",9,0.9,7,6.979425966871416,21.708172733594807,17,4,4.0
143,"20,143",9,0.9,6,5.168556744002097,29.269858942097716,17,2,2.0
144,"20,144",9,0.9,8,3.67691007386296,23.38760063023174,17,2,2.0
145,"20,145",8,0.8,4,3.5263844705432845,13.374403976277476,15,1,1.0
146,"20,146",9,0.9,7,2.7303812262602882,23.259313440539913,17,3,3.0
