rep,t,S,I,R
0,0.0,9990,10,0
0,0.2,9988,12,0
0,0.4,9987,13,0
0,0.6000000000000001,9987,12,1
0,0.8,9987,10,3
0,1.0,9984,13,3
0,1.2000000000000002,9982,15,3
0,1.4000000000000001,9980,17,3
0,1.6,9980,15,5
0,1.8,9977,17,6
0,2.0,9975,18,7
0,2.2,9974,18,8
0,2.4000000000000004,9973,19,8
0,2.6,9969,22,9
0,2.8000000000000003,9966,23,11
0,3.0,9960,28,12
0,3.2,9958,28,14
0,3.4000000000000004,9958,26,16
0,3.6,9955,28,17
0,3.8000000000000003,9954,28,18
0,4.0,9946,36,18
0,4.2,9940,41,19
0,4.4,9938,37,25
0,4.6000000000000005,9937,37,26
0,4.800000000000001,9929,43,28
0,5.0,9923,48,29
0,5.2,9918,52,30
0,5.4,9908,59,33
0,5.6000000000000005,9905,59,36
0,5.800000000000001,9902,60,38
0,6.0,9898,62,40
0,6.2,9894,63,43
0,6.4,9886,68,46
0,6.6000000000000005,9880,71,49
0,6.800000000000001,9878,72,50
0,7.0,9873,74,53
0,7.2,9859,84,57
0,7.4,9852,88,60
0,7.6000000000000005,9844,93,63
0,7.800000000000001,9835,99,66
0,8.0,9828,105,67
0,8.200000000000001,9818,110,72
0,8.4,9810,117,73
0,8.6,9798,124,78
0,8.8,9780,137,83
0,9.0,9763,149,88
0,9.200000000000001,9743,162,95
0,9.4,9726,174,100
0,9.600000000000001,9700,195,105
0,9.8,9679,208,113
0,10.0,9661,221,118
0,10.200000000000001,9643,231,126
0,10.4,9614,255,131
0,10.600000000000001,9597,262,141
0,10.8,9577,272,151
0,11.0,9558,280,162
0,11.200000000000001,9525,298,177
0,11.4,9499,309,192
0,11.600000000000001,9466,332,202
0,11.8,9421,358,221
0,12.0,9390,375,235
0,12.200000000000001,9353,400,247
0,12.4,9312,420,268
0,12.600000000000001,9266,450,284
0,12.8,9215,477,308
0,13.0,9168,506,326
0,13.200000000000001,9113,548,339
0,13.4,9057,582,361
0,13.600000000000001,9001,621,378
0,13.8,8942,657,401
0,14.0,8876,694,430
0,14.200000000000001,8812,728,460
0,14.4,8757,757,486
0,14.600000000000001,8696,784,520
0,14.8,8594,862,544
0,15.0,8520,906,574
0,15.200000000000001,8445,938,617
0,15.4,8383,962,655
0,15.600000000000001,8292,1009,699
0,15.8,8205,1054,741
0,16.0,8106,1115,779
0,16.2,8029,1147,824
0,16.400000000000002,7926,1209,865
0,16.6,7820,1247,933
0,16.8,7723,1303,974
0,17.0,7617,1349,1034
0,17.2,7514,1399,1087
0,17.400000000000002,7413,1458,1129
0,17.6,7287,1526,1187
0,17.8,7186,1569,1245
0,18.0,7055,1626,1319
0,18.2,6925,1693,1382
0,18.400000000000002,6802,1749,1449
0,18.6,6651,1836,1513
0,18.8,6533,1883,1584
0,19.0,6414,1921,1665
0,19.200000000000003,6313,1934,1753
0,19.400000000000002,6200,1960,1840
0,19.6,6052,2018,1930
0,19.8,5910,2076,2014
0,20.0,5787,2104,2109
0,20.200000000000003,5648,2152,2200
0,20.400000000000002,5530,2181,2289
0,20.6,5411,2221,2368
0,20.8,5274,2274,2452
0,21.0,5138,2316,2546
0,21.200000000000003,4988,2359,2653
0,21.400000000000002,4881,2388,2731
0,21.6,4768,2393,2839
0,21.8,4639,2437,2924
0,22.0,4542,2439,3019
0,22.200000000000003,4433,2470,3097
0,22.400000000000002,4323,2488,3189
0,22.6,4216,2485,3299
0,22.8,4101,2503,3396
0,23.0,4013,2490,3497
0,23.200000000000003,3908,2474,3618
0,23.400000000000002,3814,2478,3708
0,23.6,3714,2474,3812
0,23.8,3614,2479,3907
0,24.0,3518,2491,3991
0,24.200000000000003,3419,2484,4097
0,24.400000000000002,3318,2497,4185
0,24.6,3244,2478,4278
0,24.8,3164,2455,4381
0,25.0,3090,2444,4466
0,25.200000000000003,3010,2444,4546
0,25.400000000000002,2932,2424,4644
0,25.6,2877,2393,4730
0,25.8,2800,2362,4838
0,26.0,2733,2337,4930
0,26.200000000000003,2683,2286,5031
0,26.400000000000002,2611,2269,5120
0,26.6,2552,2234,5214
0,26.8,2485,2212,5303
0,27.0,2439,2174,5387
0,27.200000000000003,2381,2151,5468
0,27.400000000000002,2328,2125,5547
0,27.6,2293,2078,5629
0,27.8,2244,2058,5698
0,28.0,2206,2019,5775
0,28.200000000000003,2168,1952,5880
0,28.400000000000002,2123,1919,5958
0,28.6,2096,1881,6023
0,28.8,2049,1854,6097
0,29.0,2011,1819,6170
0,29.200000000000003,1971,1798,6231
0,29.400000000000002,1939,1768,6293
0,29.6,1914,1730,6356
0,29.8,1881,1693,6426
0,30.0,1851,1644,6505
0,30.200000000000003,1813,1608,6579
0,30.400000000000002,1778,1586,6636
0,30.6,1743,1565,6692
0,30.8,1713,1528,6759
0,31.0,1683,1499,6818
0,31.200000000000003,1662,1448,6890
0,31.400000000000002,1632,1417,6951
0,31.6,1609,1388,7003
0,31.8,1578,1370,7052
0,32.0,1554,1346,7100
0,32.2,1533,1324,7143
0,32.4,1517,1296,7187
0,32.6,1497,1257,7246
0,32.800000000000004,1482,1223,7295
0,33.0,1467,1193,7340
0,33.2,1453,1149,7398
0,33.4,1441,1120,7439
0,33.6,1433,1077,7490
0,33.800000000000004,1416,1047,7537
0,34.0,1394,1025,7581
0,34.2,1385,993,7622
0,34.4,1367,973,7660
0,34.6,1354,947,7699
0,34.800000000000004,1344,923,7733
0,35.0,1331,903,7766
0,35.2,1319,885,7796
0,35.4,1308,869,7823
0,35.6,1298,838,7864
0,35.800000000000004,1283,824,7893
0,36.0,1272,807,7921
0,36.2,1261,789,7950
0,36.4,1247,772,7981
0,36.6,1235,759,8006
0,36.800000000000004,1226,726,8048
0,37.0,1219,712,8069
0,37.2,1213,683,8104
0,37.4,1206,667,8127
