rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"102,0",1,0.001,1,0.0,1.6218289848947225,1,0,0.0
1,"102,1",1,0.001,1,0.0,1.839058523714764,1,0,0.0
2,"102,2",415,0.415,78,45.03367088419359,101.55964912140112,829,9,9.0
3,"102,3",1,0.001,1,0.0,0.6231868257718597,1,0,0.0
4,"102,4",1,0.001,1,0.0,0.42804700331052054,1,0,0.0
5,"102,5",398,0.398,75,25.55476960830435,87.31696599072102,795,3,3.0
6,"102,6",1,0.001,1,0.0,1.3784449697639507,1,0,0.0
7,"102,7",6,0.006,4,3.731521274853319,11.699032366799946,11,4,4.0
8,"102,8",1,0.001,1,0.0,7.405635564567513,1,0,0.0
9,"102,9",2,0.002,2,0.5003757151728878,2.436456887762362,3,1,1.0
10,"102,10",375,0.375,55,37.165857224322025,85.50807917280726,749,1,1.0
11,"102,11",388,0.388,81,60.881744624886736,111.49901932457874,775,1,1.0
12,"102,12",1,0.001,1,0.0,6.332409125433796,1,0,0.0
13,"102,13",2,0.002,2,1.278981272103696,4.9380478744953225,3,1,1.0
14,"102,14",1,0.001,1,0.0,0.8816401889588275,1,0,0.0
15,"102,15",412,0.412,67,29.95854154517605,95.32887533174402,823,1,1.0
16,"102,16",9,0.009,4,12.09630864750659,19.75394200175871,17,2,2.0
17,"102,17",1,0.001,1,0.0,7.400163707240882,1,0,0.0
18,"102,18",1,0.001,1,0.0,1.976630227426708,1,0,0.0
19,"102,19",391,0.391,41,49.79147074668623,114.01197109721882,781,2,2.0
20,"102,20",368,0.368,37,27.697437151270474,110.03379586791304,735,7,7.0
21,"102,21",13,0.013,10,8.135889527208938,13.795830951687746,25,3,3.0
22,"102,22",4,0.004,2,0.22811745444657175,9.223375022724705,7,3,3.0
23,"102,23",395,0.395,55,40.69718895225572,87.10298218970115,789,4,4.0
24,"102,24",4,0.004,3,2.176609527505748,4.822841730600077,7,3,3.0
25,"102,25",1,0.001,1,0.0,0.6831095854296841,1,0,0.0
26,"102,26",1,0.001,1,0.0,0.40947728567653674,1,0,0.0
27,"102,27",364,0.364,61,28.787956438261332,73.88845634182061,727,7,7.0
28,"102,28",1,0.001,1,0.0,0.13363810993842587,1,0,0.0
29,"102,29",3,0.003,2,0.7289305575832397,8.474860580449885,5,1,1.0
30,"102,30",307,0.307,29,21.910980670278764,97.27960450915226,613,5,5.0
31,"102,31",331,0.331,42,24.714956994412205,92.60585781359035,661,1,1.0
32,"102,32",25,0.025,9,11.375857103529773,22.07233478571668,49,7,7.0
33,"102,33",1,0.001,1,0.0,1.0058831242782018,1,0,0.0
34,"102,34",287,0.287,48,43.5964215688685,86.14809749617493,573,2,2.0
35,"102,35",1,0.001,1,0.0,1.1153945146837534,1,0,0.0
36,"102,36",1,0.001,1,0.0,3.3360969052557894,1,0,0.0
