rep,seed_spawn_key,final_size,final_size_frac,peak_I,t_peak,duration,n_events,index_offspring,mean_initial_offspring
0,"10014,0",3,0.003,2,0.546194925083133,1.90335257776864,5,2,2.0
1,"10014,1",978,0.978,372,14.260348363661274,64.40337750612468,1955,12,12.0
2,"10014,2",980,0.98,433,18.926361808220335,59.73118812746794,1959,2,2.0
3,"10014,3",1,0.001,1,0.0,0.44179702665486165,1,0,0.0
4,"10014,4",987,0.987,428,14.874817968579801,49.50303914859025,1973,5,5.0
5,"10014,5",986,0.986,436,11.230397013763938,56.40496211322442,1971,9,9.0
6,"10014,6",2,0.002,2,1.871268472374459,4.1721040931788735,3,1,1.0
7,"10014,7",985,0.985,408,16.744832873203777,47.29679912094888,1969,9,9.0
8,"10014,8",1,0.001,1,0.0,0.7157624308133509,1,0,0.0
9,"10014,9",978,0.978,418,13.303622967469934,50.14011481829868,1955,2,2.0
10,"10014,10",1,0.001,1,0.0,0.1695711218585899,1,0,0.0
11,"10014,11",982,0.982,413,15.13012606941386,48.70376067937506,1963,5,5.0
12,"10014,12",983,0.983,415,13.067204029102692,50.540418510091186,1965,3,3.0
13,"10014,13",988,0.988,434,16.522980499117995,62.29445533310986,1975,3,3.0
14,"10014,14",987,0.987,407,11.320029993620864,40.68155125369085,1973,3,3.0
15,"10014,15",976,0.976,418,9.978897810737719,53.37134156353156,1951,3,3.0
16,"10014,16",976,0.976,462,12.703241514464727,48.16556589296504,1951,6,6.0
17,"10014,17",982,0.982,422,20.442704505544857,59.71750554287694,1963,2,2.0
18,"10014,18",984,0.984,402,14.91658993308074,50.43604778384876,1967,6,6.0
19,"10014,19",989,0.989,431,16.46104207825768,62.68761785605325,1977,9,9.0
20,"10014,20",978,0.978,416,14.25640863833873,57.12382560842553,1955,3,3.0
21,"10014,21",992,0.992,432,12.382513322984977,51.16740038027666,1983,9,9.0
22,"10014,22",2,0.002,2,2.065979447320186,3.292147450237361,3,1,1.0
23,"10014,23",985,0.985,387,14.71121925380807,52.984963399489885,1969,3,3.0
24,"10014,24",973,0.973,431,13.556360188086247,43.84694417356383,1945,3,3.0
25,"10014,25",971,0.971,386,14.08069493807432,53.01676811626033,1941,2,2.0
26,"10014,26",984,0.984,436,17.59850335943504,61.050902024950794,1967,2,2.0
27,"10014,27",968,0.968,425,13.902496355509616,55.3176555420023,1935,1,1.0
28,"10014,28",977,0.977,404,13.22059349014789,51.07870047472386,1953,9,9.0
29,"10014,29",977,0.977,419,14.41893126958353,57.13806704998452,1953,1,1.0
30,"10014,30",971,0.971,388,11.925156556038592,61.94638154260027,1941,7,7.0
31,"10014,31",979,0.979,417,17.008639760145563,67.30969454310895,1957,10,10.0
32,"10014,32",1,0.001,1,0.0,2.2407280760618247,1,0,0.0
33,"10014,33",977,0.977,400,13.289192975950789,44.09563079483721,1953,4,4.0
34,"10014,34",2,0.002,2,0.6854312906504897,2.9024190186901366,3,1,1.0
35,"10014,35",981,0.981,399,11.244217959541599,45.24528370643637,1961,4,4.0
