quantidade,simulado,ic_low,ic_high,teorico,erro_abs,erro_rel,teorico_no_ic,unidade
C1: P(surto maior),0.608,0.5773836453554849,0.6377897748116351,0.6,0.008000000000000007,0.013333333333333346,True,ramificação: 1−(1/R_eff)^I0
C1: P(surto maior),0.608,0.5773836453554849,0.6377897748116351,0.5988724140318241,0.009127585968175866,0.015241286381394128,True,"CTMC exata N=1000, limiar 425"
C1: tamanho final | surto maior (fração de N),0.8914835526315789,0.8900530221408924,0.8929140831222653,0.8914244114136323,5.914121794659e-05,6.634462461354754e-05,True,equação do tamanho final: s0·τ
C1: tamanho final | surto maior (fração de N),0.8914835526315789,0.8900530221408924,0.8929140831222653,0.8927914279235243,-0.0013078752919454262,-0.0014649281467535077,True,equação com i0>0: s0·τ(i0)+i0
C1: tamanho final | surto maior (fração de N),0.8914835526315789,0.8900530221408924,0.8929140831222653,0.8918318620264957,-0.00034830939491681256,-0.0003905550022908517,True,CTMC exata N=1000
C1: tamanho final | surto menor (nº de casos),1.5688775510204083,1.4361887006063963,1.7015664014344203,1.6666666666666667,-0.09778911564625847,-0.058673469387755084,True,ramificação dual: 1/(1−1/R_eff)
C1: tamanho final | surto menor (nº de casos),1.5688775510204083,1.4361887006063963,1.7015664014344203,1.6788932640182859,-0.1100157129978776,-0.06552871189355093,True,CTMC exata N=1000
C1: offspring médio do caso índice,2.517,2.346250555642368,2.6877494443576317,2.4975,0.01949999999999985,0.007807807807807748,True,geométrica sem depleção: R0·s0
C1: pico de I/N | surto maior,0.24572039473684215,0.2439116035154959,0.2475291859581884,0.23388389784301758,0.011836496893824572,0.05060843009281984,False,EDO
C1: tempo até o pico | surto maior (dias),24.41196824051487,24.04644289762715,24.777493583402592,24.36,0.0519682405148707,0.0021333432066859893,True,EDO
C1: tamanho final (EDO) | surto maior,0.8914835526315789,0.8900530221408924,0.8929140831222653,0.8927914279247862,-0.0013078752932073057,-0.0014649281481648462,True,EDO (inclui i0)
C2: P(surto maior),0.312,0.2840496860924683,0.3413891750981004,0.33333333333333337,-0.02133333333333337,-0.0640000000000001,True,ramificação: 1−(1/R_eff)^I0
C2: P(surto maior),0.312,0.2840496860924683,0.3413891750981004,0.319639538241409,-0.007639538241409005,-0.02390047953216355,True,"CTMC exata N=1000, limiar 135"
C2: tamanho final | surto maior (fração de N),0.34592628205128206,0.34051154687999496,0.35134101722256916,0.3481288416529094,-0.002202559601627352,-0.006326851837870252,True,equação do tamanho final: s0·τ
C2: tamanho final | surto maior (fração de N),0.34592628205128206,0.34051154687999496,0.35134101722256916,0.3507961586706045,-0.004869876619322422,-0.013882354464135415,True,equação com i0>0: s0·τ(i0)+i0
C2: tamanho final | surto maior (fração de N),0.34592628205128206,0.34051154687999496,0.35134101722256916,0.34657090004165153,-0.0006446179903694671,-0.0018599887939004566,True,CTMC exata N=1000
C2: tamanho final | surto menor (nº de casos),3.4607558139534884,2.9165838962557746,4.004927731651202,2.9999999999999996,0.46075581395348886,0.15358527131782965,True,ramificação dual: 1/(1−1/R_eff)
C2: tamanho final | surto menor (nº de casos),3.4607558139534884,2.9165838962557746,4.004927731651202,3.7902170483797786,-0.32946123442629016,-0.08692410756980962,True,CTMC exata N=1000
C2: offspring médio do caso índice,1.519,1.3919494780162718,1.646050521983728,1.4975,0.021499999999999853,0.014357262103505745,True,geométrica sem depleção: R0·s0
C2: pico de I/N | surto maior,0.053336538461538456,0.051680337783506385,0.05499273913957053,0.0384811790175567,0.014855359443981753,0.38604221136790334,False,EDO
C2: tempo até o pico | surto maior (dias),43.5026701185858,41.65656981921144,45.348770417960154,51.7,-8.197329881414205,-0.1585557037024024,False,EDO
C2: tamanho final (EDO) | surto maior,0.34592628205128206,0.34051154687999496,0.35134101722256916,0.35079615867019165,-0.0048698766189095855,-0.013882354462974898,True,EDO (inclui i0)
C3: P(surto maior),0.0,0.0,7.900035671253742e-05,0.0,0.0,,True,ramificação: 1−(1/R_eff)^I0
C3: P(Z ≥ 100) (cauda da classe menor),6.170046481016824e-05,2.0983942890381372e-05,0.0001814075947250339,3.6279634614684976e-05,2.5420830195483265e-05,0.7006914613520839,True,CTMC exata N=1000
"C3: tamanho final médio (nº de casos, incl. I0)",3.637036732343384,3.576980948566462,3.6970925161203056,4.000000000000002,-0.3629632676566179,-0.09074081691415443,False,ramificação: 1/(1−R_eff)
"C3: tamanho final médio (nº de casos, incl. I0)",3.637036732343384,3.576980948566462,3.6970925161203056,3.6061645745356783,0.03087215780770558,0.008560939793403803,True,CTMC exata N=1000
C3: offspring médio do caso índice,0.7479330344288594,0.7379009670205035,0.7579651018372153,0.7474999999999999,0.00043303442885944676,0.0005793102727216679,True,geométrica sem depleção: R0·s0
